a,b,f(a),f(b),x,f(x)
1.0,2.0,1.5253986251501086,-0.762769678598092,1.5,0.174878644739354
1.5,2.0,0.174878644739354,-0.762769678598092,1.5,0.174878644739354
1.5,1.75,0.174878644739354,-0.3389250163604842,1.75,-0.3389250163604842
1.5,1.625,0.174878644739354,-0.09403170216477452,1.625,-0.09403170216477452
1.5625,1.625,0.037320516962876304,-0.09403170216477452,1.5625,0.037320516962876304
1.5625,1.59375,0.037320516962876304,-0.029118478454488006,1.59375,-0.029118478454488006
1.578125,1.59375,0.003908707067552086,-0.029118478454488006,1.578125,0.003908707067552086
